Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
2.2.5,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Metadata standards and management Properly documenting information about the data (when, where, how it was collected) so others can understand and properly use it.",FOUNDATIONAL,Understands importance of metadata,Documents data following templates,Completes metadata templates for datasets,Includes basic documentation with data files,Understands key metadata elements,Recognizes incomplete or missing metadata,Uses file naming conventions,Documents data collection methods
2.2.5,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Metadata standards and management Properly documenting information about the data (when, where, how it was collected) so others can understand and properly use it.",INTERMEDIATE,"Applies metadata standards (ISO, FGDC, Dublin Core)",Creates comprehensive metadata,Creates metadata following formal standards,Uses metadata editing tools,Develops metadata profiles for data types,Documents complex datasets thoroughly,Creates data dictionaries and codebooks,Publishes metadata in catalogs
2.2.5,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Metadata standards and management Properly documenting information about the data (when, where, how it was collected) so others can understand and properly use it.",ADVANCED,Expert in metadata systems and information architecture,Designs metadata systems and standards,Develops organizational metadata standards,Designs metadata schemas for complex data,Implements metadata management systems,Develops automated metadata generation,Ensures metadata interoperability across systems,Integrates metadata with data catalogs and portals
2.2.5,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Metadata standards and management Properly documenting information about the data (when, where, how it was collected) so others can understand and properly use it.",EXPERT,Shapes metadata practices in environmental field,Provides leadership on metadata and data documentation,Influences metadata standards development,Leads enterprise metadata programs,Provides expert consultation on metadata,Publishes on metadata best practices,Advances metadata practices in environmental sector,Contributes to national/international metadata standards
2.3.1,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Environmental sensor deployment and maintenance,FOUNDATIONAL,Understands sensor types and basic operation,Installs and maintains sensors,Installs sensors following protocols,Records sensor locations with GPS,Downloads data from loggers,"Performs basic sensor maintenance (cleaning, battery replacement)",Recognizes sensor malfunctions,Follows safety protocols for electrical equipment
2.3.1,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Environmental sensor deployment and maintenance,INTERMEDIATE,Applies sensor technology principles,Designs and manages sensor networks,Selects appropriate sensors for monitoring objectives,Calibrates sensors for accuracy,Designs sensor deployment strategies,Troubleshoots sensor problems systematically,Manages data from multiple sensors,"Implements data transmission systems (cellular, satellite)"
2.3.1,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Environmental sensor deployment and maintenance,ADVANCED,Expert in sensor systems and IoT applications,Develops comprehensive sensor monitoring programs,Designs complex multi-sensor networks,Implements wireless sensor networks (IoT),Uses edge computing and real-time data processing,Integrates sensor data with analytical platforms,Develops automated alerts and triggers,Evaluates and acquires new sensor technologies
2.3.1,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Environmental sensor deployment and maintenance,EXPERT,Shapes environmental sensor applications,Provides leadership on sensor technology,Develops innovative sensor monitoring approaches,Influences sensor technology standards,Leads major sensor network programs,Provides expert consultation on sensor systems,Publishes influential sensor technology research,Advances operational use of sensor technology
2.3.2,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Drone operation and data collection,FOUNDATIONAL,Understands drone basics and regulations,Operates drones safely,Holds FAA Part 107 Remote Pilot Certificate (or equivalent),Operates drones following safety protocols,Plans flight missions using mapping software,Captures imagery following protocols,Understands airspace regulations and restrictions,Performs pre-flight and post-flight checks
2.3.2,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Drone operation and data collection,INTERMEDIATE,Applies drone survey methods and photogrammetry,Conducts professional drone surveys,Plans surveys optimizing coverage and resolution,Operates multiple drone platforms,"Captures specialized imagery (thermal, multispectral)",Processes imagery to create orthomosaics,Generates digital elevation models and 3D models,Uses ground control points for accuracy
2.3.2,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Drone operation and data collection,ADVANCED,Expert in drone systems and applications,Leads drone programs and develops applications,Develops drone-based monitoring protocols,"Uses advanced sensors (LiDAR, hyperspectral)",Implements automated/autonomous flights,Develops custom drone applications,Uses AI for automated image analysis,Evaluates and acquires drone technology
2.3.2,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Drone operation and data collection,EXPERT,Shapes drone applications in environmental field,Provides strategic leadership on drone technology,Develops innovative drone applications,Influences drone regulations and standards,Leads major drone programs,Provides expert consultation on drone systems,Publishes influential drone research,Advances operational use of drones in environmental management
2.3.3,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Field data recording systems,FOUNDATIONAL,Understands mobile data collection concepts,Uses field data collection apps,Collects data using mobile forms and apps,Records GPS locations with observations,Takes geotagged photos in the field,Syncs data from field device to office systems,Troubleshoots basic app and device issues,Charges and maintains field devices
2.3.3,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Field data recording systems,INTERMEDIATE,Applies mobile data collection design principles,Designs and deploys field data systems,Designs custom data collection forms,"Configures Survey123, Fulcrum, or similar platforms",Implements data validation and logic in forms,Designs offline-capable data collection,Integrates field data with databases and GIS,Develops field data collection workflows
2.3.3,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Field data recording systems,ADVANCED,Expert in mobile data systems and field informatics,Develops enterprise field data solutions,Develops custom mobile applications,Implements enterprise mobile data platforms,Integrates field data collection with analytical pipelines,Uses real-time data validation and feedback,Implements sensor integration with mobile devices,Develops offline-first data architectures
2.3.3,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Field data recording systems,EXPERT,Shapes field data collection practice,Provides strategic leadership on field informatics,Develops innovative field data collection approaches,Influences field data collection standards,Leads major field data system implementations,Provides expert consultation on field informatics,Publishes influential field data collection research,Advances field data technology in environmental sector
2.3.4,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Mobile applications for field science,FOUNDATIONAL,Familiar with common field apps,Uses field apps for data collection,"Uses species identification apps (iNaturalist, Merlin, Seek)",Records observations in citizen science apps,Uses offline mapping apps for navigation,Submits data from apps following protocols,Understands app capabilities and limitations,Uses weather and field condition apps
2.3.4,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Mobile applications for field science,INTERMEDIATE,Applies mobile app ecosystem effectively,Selects and customizes apps for projects,Evaluates apps for monitoring objectives,"Customizes Survey123, Fulcrum, or similar apps",Uses multiple apps in integrated workflows,Trains field teams in app use,Troubleshoots app issues in the field,Manages app-based citizen science programs
2.3.4,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Mobile applications for field science,ADVANCED,Expert in mobile app applications and development,Develops custom apps or leads app-based programs,Develops custom mobile applications,Designs app-based monitoring programs,Integrates multiple data sources through apps,Evaluates app effectiveness and user experience,Uses app analytics to improve data collection,Collaborates with developers on app features
2.3.4,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Mobile applications for field science,EXPERT,Shapes mobile app use in environmental science,Provides leadership on mobile technology,Develops innovative mobile app approaches,Influences mobile app standards and design,Leads major mobile app initiatives,Provides expert consultation on mobile apps,Publishes influential mobile technology research,Advances mobile technology in environmental field
2.3.5,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Remote communication systems,FOUNDATIONAL,Understands remote communication basics,Uses communication equipment,Operates two-way radios properly,Understands radio etiquette and protocols,Uses satellite phones or satellite messengers,Performs check-ins as required,Charges and maintains communication devices,Recognizes communication equipment problems
2.3.5,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Remote communication systems,INTERMEDIATE,Applies communication systems and protocols,Manages field communications,Programs and manages radio systems,Develops communication plans for projects,Uses multiple communication technologies appropriately,Troubleshoots communication equipment,Implements check-in systems for field safety,Manages communication equipment inventory
2.3.5,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Remote communication systems,ADVANCED,Expert in communication systems and protocols,Designs communication infrastructure,Designs communication systems for programs,Implements radio networks with repeaters,"Integrates satellite, cellular, and radio systems",Develops emergency communication protocols,Evaluates and acquires communication technology,Manages communication system budgets
2.3.5,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Remote communication systems,EXPERT,Shapes communication technology in environmental field,Provides strategic leadership on communication,Develops innovative communication approaches,Influences communication standards and protocols,Leads major communication infrastructure projects,Provides expert consultation on remote communications,Advances communication technology in environmental operations,
2.4.1,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Machine learning for environmental applications,FOUNDATIONAL,Understands machine learning concepts and applications,Uses pre-trained models and ML tools,Explains supervised vs. unsupervised learning,Uses existing ML models for classification or prediction,Prepares training data for ML models,Understands overfitting and validation concepts,Uses ML tools with graphical interfaces,Interprets ML model outputs and accuracy metrics
2.4.1,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Machine learning for environmental applications,INTERMEDIATE,Applies ML algorithms and workflows,Trains and evaluates ML models,Selects appropriate algorithms for problems,Trains classification and regression models,Performs feature engineering and selection,Uses cross-validation and hyperparameter tuning,Evaluates model performance with appropriate metrics,"Uses scikit-learn, TensorFlow, or PyTorch"
2.4.1,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Machine learning for environmental applications,ADVANCED,Expert in ML methods and deep learning,Develops sophisticated ML applications,"Develops deep learning models (CNNs, RNNs, transformers)",Implements computer vision for species identification,Uses transfer learning and fine-tuning,Develops ML pipelines and production systems,Addresses model interpretability and explainability,Uses ensemble methods and model stacking
2.4.1,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Machine learning for environmental applications,EXPERT,Shapes ML applications in environmental science,Provides ML leadership and innovation,Develops novel ML architectures for environmental problems,Influences ML standards and best practices,Leads major ML initiatives,Publishes influential ML research,Provides expert ML consultation,Advances responsible AI in environmental applications
2.4.2,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Predictive modeling and simulation,FOUNDATIONAL,Understands modeling concepts and purposes,Runs existing models,"Explains different model types (statistical, mechanistic, agent-based)",Runs pre-built models with different inputs,Interprets model outputs,Understands model assumptions and limitations,Recognizes uncertainty in predictions,Visualizes model results
2.4.2,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Predictive modeling and simulation,INTERMEDIATE,Applies modeling methods and parameterization,Develops and calibrates models,Builds statistical predictive models,Calibrates models using field data,Validates models with independent datasets,Conducts sensitivity and uncertainty analysis,"Uses simulation software (R, Python, NetLogo)",Develops scenario simulations
2.4.2,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Predictive modeling and simulation,ADVANCED,Expert in modeling theory and complex systems,Develops sophisticated models and modeling frameworks,Develops mechanistic process-based models,Builds agent-based and individual-based models,Implements spatially-explicit models,"Couples multiple models (climate, hydrology, ecology)",Uses Bayesian methods and ensemble modeling,Develops decision support systems based on models
2.4.2,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Predictive modeling and simulation,EXPERT,Shapes environmental modeling practice,Provides modeling leadership and innovation,Develops innovative modeling approaches,Influences modeling standards and best practices,Leads major modeling initiatives,Publishes influential modeling research,Provides expert modeling consultation,Advances integration of models with decision-making
2.4.3,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Decision support systems,FOUNDATIONAL,Understands decision support concepts,Uses existing decision support tools,Operates decision support software,Enters data and runs scenarios,Interprets decision tool outputs,Understands tool assumptions and constraints,Generates reports from decision tools,Recognizes tool limitations
2.4.3,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Decision support systems,INTERMEDIATE,Applies decision analysis methods,Customizes and implements decision tools,Configures decision support tools for specific contexts,Develops simple decision dashboards,Uses multi-criteria decision analysis methods,Implements decision trees and logic frameworks,Integrates data sources into decision tools,Facilitates decision processes using tools
2.4.3,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Decision support systems,ADVANCED,Expert in decision science and tool development,Develops comprehensive decision support systems,Designs decision support systems from scratch,Develops interactive dashboards and web applications,Implements optimization algorithms,"Integrates models, data, and visualization",Uses structured decision-making frameworks,Conducts value-of-information analyses
2.4.3,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Decision support systems,EXPERT,Shapes decision support practice,Provides leadership on decision science,Develops innovative decision support approaches,Influences decision-making standards and frameworks,Leads major decision support initiatives,Publishes influential decision science research,Provides expert consultation on decision-making,Advances evidence-based decision-making in environmental management
2.4.4,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Network analysis,FOUNDATIONAL,"Understands network concepts (nodes, edges, connectivity)",Creates simple network visualizations,Creates network diagrams,"Calculates basic network metrics (degree, density)",Understands network terminology,Visualizes networks effectively,Identifies connected components,Uses network visualization software
2.4.4,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Network analysis,INTERMEDIATE,Applies network analysis methods,Conducts network analyses,Calculates centrality measures,Analyzes network structure and properties,Identifies communities and clusters in networks,"Uses network analysis software (igraph, NetworkX, Gephi)",Applies network analysis to ecological or social systems,Analyzes landscape connectivity as networks
2.4.4,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Network analysis,ADVANCED,Expert in network science and applications,Develops network-based solutions,Develops spatial network models for connectivity,Analyzes dynamic networks over time,Uses network optimization for corridor design,Implements network-based spread models,Analyzes multi-layer and multiplex networks,Uses network analysis for conservation planning
2.4.4,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Network analysis,EXPERT,Shapes network analysis in environmental science,Provides leadership on network approaches,Develops innovative network analysis methods,Influences network analysis standards,Leads major network analysis initiatives,Publishes influential network science research,Provides expert network analysis consultation,Advances network thinking in environmental management
2.4.5,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Time series analysis,FOUNDATIONAL,"Understands time series concepts (trend, seasonality, autocorrelation)",Visualizes and describes time series,Plots time series data appropriately,Calculates moving averages and smoothing,Identifies obvious trends and patterns,Understands temporal autocorrelation,Recognizes seasonal patterns,Compares time series visually
2.4.5,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Time series analysis,INTERMEDIATE,Applies time series analysis methods,Conducts time series analyses,"Decomposes time series (trend, seasonal, residual)","Tests for trends (Mann-Kendall, linear regression)",Analyzes autocorrelation and partial autocorrelation,Identifies changepoints and breakpoints,"Uses time series software (R forecast package, Python statsmodels)",Detects anomalies in time series
2.4.5,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Time series analysis,ADVANCED,Expert in time series methods and forecasting,Develops sophisticated time series models,Fits ARIMA and state-space models,Implements multivariate time series analysis,Uses dynamic linear models and Kalman filtering,Develops forecasting models,Analyzes non-stationary and irregular time series,Uses spectral analysis for periodicities
2.4.5,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Time series analysis,EXPERT,Shapes time series analysis practice,Provides leadership on temporal analysis,Develops innovative time series approaches,Influences time series standards and methods,Leads major time series initiatives,Publishes influential time series research,Provides expert time series consultation,Advances temporal analysis in environmental science
2.5.1,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Virtual meeting facilitation,FOUNDATIONAL,Familiar with video conferencing platforms,Participates effectively in virtual meetings,Joins meetings with appropriate audio/video setup,"Uses chat, reactions, and hand-raising features",Shares screen when needed,Understands virtual meeting etiquette,Troubleshoots basic connectivity issues,Uses virtual backgrounds appropriately
2.5.1,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Virtual meeting facilitation,INTERMEDIATE,Applies virtual facilitation principles,Hosts and facilitates virtual meetings,Schedules and configures virtual meetings,Uses breakout rooms for small group work,"Manages participants (mute, spotlight, roles)",Uses polling and interactive features,Facilitates engaging virtual discussions,Records meetings and manages recordings
2.5.1,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Virtual meeting facilitation,ADVANCED,Expert in virtual collaboration and facilitation,Designs and leads complex virtual collaboration,Designs multi-day virtual workshops,Uses multiple platforms strategically,Facilitates large virtual events (100+ participants),"Integrates interactive tools (Miro, Mentimeter, polls)",Manages virtual collaboration across time zones,Develops virtual meeting protocols and standards
2.5.1,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Virtual meeting facilitation,EXPERT,Shapes virtual collaboration practice,Provides leadership on virtual collaboration,Develops innovative virtual collaboration approaches,Influences virtual meeting standards,Leads organizational virtual transformation,Provides expert consultation on virtual collaboration,Publishes on virtual facilitation methods,Advances virtual collaboration in environmental sector
2.5.2,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Collaborative document management,FOUNDATIONAL,Familiar with cloud storage and document sharing,Uses shared documents,Accesses files in shared cloud storage,Edits documents collaboratively,Uses comments and suggestions features,Follows file naming conventions,Understands version history,Shares files with appropriate permissions
2.5.2,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Collaborative document management,INTERMEDIATE,Applies document management principles,Manages collaborative document workflows,Organizes folder structures logically,Manages document permissions and sharing,Uses version control effectively,Implements naming conventions and standards,Manages document templates,Tracks document status and workflows
2.5.2,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Collaborative document management,ADVANCED,Expert in information management and collaboration,Designs document management systems,Develops organizational document management strategies,Implements enterprise document management systems,Develops metadata and tagging systems,Manages document retention and archiving,Ensures document security and compliance,Integrates document systems with workflows
2.5.2,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Collaborative document management,EXPERT,Shapes document management practice,Provides leadership on information management,Develops innovative document management approaches,Influences document management standards,Leads enterprise information management,Provides expert consultation on document systems,Publishes on information management,Advances document management in environmental sector
2.5.3,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Project management software,FOUNDATIONAL,Familiar with project management concepts and tools,Uses project management tools,Updates task status in project management tools,Tracks own tasks and deadlines,Uses project dashboards to view progress,Understands task dependencies,Adds comments and attachments to tasks,Receives and responds to task notifications
2.5.3,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Project management software,INTERMEDIATE,Applies project management methods,Manages projects using digital tools,Creates projects and assigns tasks,Develops project timelines and milestones,Uses Gantt charts and calendar views,Manages task dependencies and critical paths,Tracks project budgets and resources,"Uses multiple project views (kanban, list, timeline)"
2.5.3,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Project management software,ADVANCED,Expert in project management systems,Implements enterprise project management,Develops organizational project management frameworks,"Implements enterprise PM tools (MS Project, Smartsheet)",Uses portfolio management features,Develops project templates and workflows,Integrates PM tools with other systems,Uses resource leveling and optimization
2.5.3,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Project management software,EXPERT,Shapes project management practice,Provides leadership on project management,Develops innovative PM approaches,Influences PM standards and tools,Leads enterprise PM implementation,Provides expert PM consultation,Publishes on project management,Advances PM in environmental sector
2.5.4,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Knowledge management systems,FOUNDATIONAL,Understands knowledge management concepts,Uses knowledge management systems,Searches knowledge bases effectively,Contributes content to knowledge systems,Tags and categorizes content appropriately,Uses wikis and documentation platforms,Follows knowledge management protocols,Recognizes valuable knowledge to capture
2.5.4,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Knowledge management systems,INTERMEDIATE,Applies knowledge management principles,Manages knowledge resources,Organizes knowledge repositories,Develops documentation and how-to guides,"Uses SharePoint, Confluence, or similar platforms",Implements taxonomy and metadata systems,Facilitates knowledge sharing sessions,Captures lessons learned systematically
2.5.4,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Knowledge management systems,ADVANCED,Expert in knowledge management systems,Designs knowledge management strategies,Develops organizational KM strategies,Implements enterprise KM platforms,Designs knowledge capture processes,Uses social learning and community of practice tools,Evaluates KM effectiveness,Addresses knowledge loss and succession planning
2.5.4,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Knowledge management systems,EXPERT,Shapes knowledge management practice,Provides leadership on knowledge management,Develops innovative KM approaches,Influences KM standards and frameworks,Leads organizational learning initiatives,Provides expert KM consultation,Publishes on knowledge management,Advances KM in environmental sector
2.5.5,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Digital workflow design,FOUNDATIONAL,Understands workflow concepts,Follows digital workflows,Completes tasks in workflow systems,Understands workflow steps and logic,Routes items appropriately,Follows workflow protocols,Recognizes workflow bottlenecks,Provides feedback on workflows
2.5.5,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Digital workflow design,INTERMEDIATE,Applies workflow design principles,Designs and implements workflows,Designs simple workflows,"Uses workflow automation tools (Zapier, Microsoft Power Automate)",Implements approval and routing logic,Uses conditional logic in workflows,Integrates workflows with forms and data,Tests and debugs workflows
2.5.5,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Digital workflow design,ADVANCED,Expert in workflow automation and business process,Develops complex workflow solutions,Designs enterprise workflow systems,Uses business process management (BPM) tools,Implements robotic process automation (RPA),Develops API integrations for workflows,Uses decision logic and rules engines,Implements exception handling
2.5.5,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Digital workflow design,EXPERT,Shapes workflow automation practice,Provides leadership on digital transformation,Develops innovative workflow automation approaches,Influences workflow and process standards,Leads digital transformation initiatives,Provides expert workflow consultation,Publishes on workflow optimization,Advances workflow automation in environmental sector
2.6.1,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Computer vision for environmental applications,FOUNDATIONAL,Understands computer vision concepts and applications,Uses pre-trained computer vision models,"Explains how computer vision works (CNNs, object detection)",Uses existing CV models for classification,Prepares image datasets for training,Understands concepts like training/validation/test splits,Labels images for supervised learning,Uses image augmentation techniques
2.6.1,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Computer vision for environmental applications,INTERMEDIATE,Applies computer vision methods and architectures,Trains and deploys CV models,Trains image classification models,"Uses object detection (YOLO, Faster R-CNN)",Implements semantic segmentation for habitat mapping,Uses transfer learning with pre-trained models,Fine-tunes models for specific species or features,"Evaluates model performance (precision, recall, mAP)"
2.6.1,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Computer vision for environmental applications,ADVANCED,Expert in computer vision architectures and optimization,Develops sophisticated CV systems,Develops custom CV architectures,Implements instance segmentation and tracking,Uses attention mechanisms and transformers for vision,"Deploys models to edge devices (cameras, drones)",Implements active learning to improve models efficiently,Addresses class imbalance and rare species detection
2.6.1,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Computer vision for environmental applications,EXPERT,Shapes computer vision applications in environmental science,Provides CV leadership and innovation,Develops novel CV approaches for environmental problems,Influences CV standards and best practices,Leads major CV initiatives,Publishes influential CV research,Provides expert CV consultation,Advances responsible CV in environmental monitoring
2.6.2,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Acoustic monitoring and analysis with AI,FOUNDATIONAL,Understands acoustic monitoring concepts,Deploys recorders and manages audio data,Deploys acoustic recording units,Manages large audio datasets,Uses audio software to view spectrograms,Understands acoustic detection principles,Recognizes common species vocalizations,Uses existing acoustic classifiers
2.6.2,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Acoustic monitoring and analysis with AI,INTERMEDIATE,Applies acoustic analysis and AI methods,Processes acoustic data with AI,Trains acoustic classifiers for species detection,Uses deep learning for sound classification,"Implements audio preprocessing (filtering, denoising)",Calculates acoustic indices and soundscape metrics,"Uses tools like Raven, Kaleidoscope, or custom Python",Validates model performance with manual verification
2.6.2,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Acoustic monitoring and analysis with AI,ADVANCED,Expert in bioacoustics and acoustic AI,Develops acoustic monitoring systems,Develops custom acoustic detection models,Implements multi-species acoustic classifiers,"Uses advanced architectures (CNNs for spectrograms, RNNs for temporal)",Deploys real-time acoustic monitoring systems,"Addresses acoustic challenges (overlapping calls, noise, variability)",Develops acoustic indices for ecosystem monitoring
2.6.2,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Acoustic monitoring and analysis with AI,EXPERT,Shapes acoustic monitoring practice,Provides leadership on acoustic monitoring,Develops innovative acoustic monitoring approaches,Influences acoustic monitoring standards,Leads major acoustic monitoring initiatives,Publishes influential bioacoustics research,Provides expert acoustic monitoring consultation,Advances acoustic monitoring in conservation
2.6.3,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Predictive analytics for resource management,FOUNDATIONAL,Understands predictive analytics concepts,Uses predictive models,Explains predictive modeling approaches,Uses existing predictive models,Prepares data for predictive modeling,Understands model inputs and outputs,Interprets predictions and uncertainty,Recognizes when predictions need updating
2.6.3,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Predictive analytics for resource management,INTERMEDIATE,Applies predictive modeling methods,Develops predictive models,Builds time series forecasting models,Uses regression and classification for prediction,Implements ensemble methods for predictions,Develops risk prediction models,Evaluates forecast accuracy over time,Uses ML for spatial prediction
2.6.3,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Predictive analytics for resource management,ADVANCED,Expert in predictive analytics and forecasting,Develops sophisticated prediction systems,Develops real-time prediction systems,Uses deep learning for sequence prediction,Implements probabilistic forecasting,Develops early warning systems,Integrates predictions with decision support,Addresses concept drift and model updating
2.6.3,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Predictive analytics for resource management,EXPERT,Shapes predictive analytics in environmental management,Provides leadership on predictive analytics,Develops innovative predictive approaches,Influences predictive analytics standards,Leads major forecasting initiatives,Publishes influential predictive analytics research,Provides expert forecasting consultation,Advances operational forecasting in environmental management
2.6.4,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Automated data processing and quality control with AI,FOUNDATIONAL,Understands automated data processing concepts,Uses automated data tools,Uses existing data processing pipelines,Recognizes data quality issues,Understands validation rules,Uses automated QC tools,Reviews flagged data,Documents data issues
2.6.4,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Automated data processing and quality control with AI,INTERMEDIATE,Applies data processing automation,Develops automated data workflows,Develops data processing scripts and pipelines,Implements automated validation rules,Uses anomaly detection algorithms,Develops automated error correction routines,Creates data quality dashboards,Uses ML for data imputation
2.6.4,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Automated data processing and quality control with AI,ADVANCED,Expert in automated data systems and AI QC,Designs comprehensive automated data systems,Develops AI-powered data quality systems,Uses ML for complex anomaly detection,Implements automated data cleaning pipelines,Develops adaptive QC that learns from corrections,Integrates data processing with monitoring systems,Uses streaming data processing
2.6.4,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Automated data processing and quality control with AI,EXPERT,Shapes automated data processing practice,Provides leadership on data automation,Develops innovative data automation approaches,Influences data processing standards,Leads enterprise data automation initiatives,Publishes influential data automation research,Provides expert consultation on data systems,Advances data automation in environmental monitoring
2.6.5,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,AI model interpretation and explainability,FOUNDATIONAL,Understands importance of model interpretability,Interprets simple model outputs,Explains what a model predicts,Identifies key input variables,Understands model limitations,"Recognizes when models are ""black boxes""",Communicates model outputs clearly,Questions unexpected predictions
2.6.5,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,AI model interpretation and explainability,INTERMEDIATE,Applies interpretability methods,Analyzes and explains model behavior,Uses feature importance methods,Creates partial dependence plots,Implements SHAP values for interpretation,Uses LIME for local explanations,Visualizes model decisions,Identifies when models use spurious correlations
