Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Description,Job Task 1,Job Task 2,Job Task 3,Foundational - Knowledge,Foundational - Application,Intermediate - Knowledge,Intermediate - Application,Advanced - Knowledge,Advanced - Application,Expert - Knowledge,Expert - Application,Public Agencies,Private Sector,NGOs,Consulting,Academia
2.1.3,2,Technical & Technological Skills,2.1,GEOSPATIAL TECHNOLOGIES,GPS data collection and management,Using Global Positioning System devices to accurately record locations in the field and manage that information.,Use handheld or mounted GPS units to collect accurate field location data,Transfer and clean GPS datasets for integration into GIS systems,Maintain GPS equipment and train staff on field use protocols,"Understands GPS basics (satellites, accuracy, coordinate systems)",Collects GPS points in the field,Applies GPS principles; understands differential correction,Manages GPS data collection programs,Expert in GNSS technology and high-precision positioning,Implements enterprise GPS/GNSS programs,Shapes GPS/GNSS applications in environmental field,Provides strategic leadership on positioning technology,"Resource inventory, boundary surveys, field data collection","Asset tracking, precision agriculture, site surveys","Species locations, monitoring sites, land acquisition","Field surveys, site mapping, boundary determination","Research plot locations, wildlife tracking, experimental design"
2.1.4,2,Technical & Technological Skills,2.1,GEOSPATIAL TECHNOLOGIES,Spatial analysis and modeling,Using specialized techniques to analyze patterns across landscapes and predict how they might change.,"Analyze terrain, habitat connectivity, or resource distribution using GIS tools",Build predictive spatial models to support conservation planning,Evaluate scenarios using spatial overlays and suitability analyses,Understands basic spatial analysis concepts,Performs simple spatial analyses,Applies spatial analysis methods and statistics,Conducts complex spatial analyses,Expert in spatial modeling and advanced spatial statistics,Develops sophisticated spatial models,Shapes spatial analysis science and applications,Leads major spatial modeling initiatives,"Conservation planning, site selection, impact analysis","Site suitability, risk modeling, optimization","Conservation prioritization, corridor design, threat assessment","Spatial modeling services, impact assessment","Spatial ecology research, landscape ecology"
2.1.5,2,Technical & Technological Skills,2.1,GEOSPATIAL TECHNOLOGIES,Cartography and visualization,"Creating clear, effective maps and visual displays that communicate geographic information to different audiences.","Design clear, effective maps tailored to different audiences and communication needs","Apply cartographic principles such as scale, symbology, and color theory",Develop interactive or web-based map applications for public or internal use,Understands basic cartographic principles,Creates simple maps following templates,Applies advanced cartographic design principles,"Creates professional, publication-quality maps",Expert in cartographic design and visualization,Develops innovative visualization approaches,Shapes cartographic practice and visualization,Provides leadership on visualization strategy,"Public information maps, planning maps, web mapping","Client presentations, environmental reports, dashboards","Advocacy maps, public engagement, fundraising materials","Project maps, permit applications, presentations","Research maps, teaching materials, journal figures"
2.2.1,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,Database design and management,Creating and maintaining organized systems to store and access large amounts of environmental information.,Create relational databases to store environmental monitoring data,"Manage data entry, queries, and updates for consistency and usability",Develop data backup and archiving procedures to ensure long-term accessibility,"Understands database concepts (tables, fields, records, relationships)",Uses existing databases and enters data,Applies database design principles and SQL,Designs and manages databases,Expert in database architecture and advanced database systems,Develops enterprise database solutions,Shapes database strategy and data architecture,Provides leadership on enterprise data management,"Resource inventory databases, monitoring data systems, permit tracking","Environmental compliance tracking, sustainability metrics","Project databases, species observations, conservation metrics","Client data management, project tracking systems","Research databases, specimen collections, experimental data"
2.2.2,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,Statistical analysis and interpretation,"Using mathematical techniques to find patterns, test relationships, and draw conclusions from collected data.",Apply statistical tests to evaluate treatment effects on ecological variables,Analyze trends in long-term monitoring datasets to support decision-making,Create visualizations to communicate key patterns and uncertainties,"Understands basic statistics (mean, variance, correlation, hypothesis testing)",Conducts basic statistical analyses,Applies diverse statistical methods appropriately,Designs and conducts statistical analyses,Expert in advanced statistical methods and modeling,Leads complex statistical analyses and modeling projects,Shapes statistical practice in environmental field,Provides statistical leadership and innovation,"Monitoring program analysis, population assessments, effectiveness evaluation","Quality assurance, impact assessment, research analysis","Program evaluation, research analysis, conservation effectiveness","Statistical analysis services, study design","Research statistics, experimental design, biostatistics"
2.2.3,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Data quality control and validation Ensuring that information collected is accurate, consistent, and reliable before it's used for decision-making.",,Develop quality assurance protocols for field and lab data collection,Conduct regular data audits to identify and correct errors or anomalies,Train staff and partners on data validation standards and workflows,Understands importance of data quality,Follows data quality procedures,Applies data quality principles and methods,Implements quality control procedures,Expert in quality assurance/quality control (QA/QC) systems,Designs comprehensive QA/QC programs,Shapes data quality standards and practices,Provides leadership on data quality,"Monitoring program QA/QC, regulatory data quality","Laboratory QA/QC, environmental compliance data","Citizen science data validation, program data quality","Data quality services, QA/QC for projects","Research data quality, laboratory QA/QC"
2.2.4,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,Programming and scripting,Writing computer code to automate repetitive tasks or create custom tools for analyzing environmental data.,Write custom scripts to automate repetitive data processing tasks,"Use programming languages (e.g., R, Python) for spatial or statistical analysis",Develop dashboards or reporting tools to streamline access to results,"Understands programming basics (variables, loops, functions)",Writes simple scripts,Applies programming principles across multiple languages,Develops functional programs and tools,Expert in software development and architecture,Develops complex applications and systems,Shapes software development in environmental field,Provides technical leadership and innovation,"Data processing automation, custom analytical tools","Software development, automation, data integration","Custom tools for conservation analysis, data visualization","Custom analysis tools, automated reporting","Research software, analytical methods development"
2.2.5,2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,"Metadata standards and management Properly documenting information about the data (when, where, how it was collected) so others can understand and properly use it.",,"Document data sources, methods, and formats according to agency metadata standards",Use metadata tools to tag and catalog environmental datasets,Ensure metadata is updated and published with public datasets,Understands importance of metadata,Documents data following templates,"Applies metadata standards (ISO, FGDC, Dublin Core)",Creates comprehensive metadata,Expert in metadata systems and information architecture,Designs metadata systems and standards,Shapes metadata practices in environmental field,Provides leadership on metadata and data documentation,"Federal metadata requirements, data catalog management","Data documentation, compliance metadata","Dataset documentation, data sharing metadata","Project metadata, client data documentation","Research data metadata, repository submissions"
2.3.1,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Environmental sensor deployment and maintenance,"Setting up and caring for devices that automatically measure and record environmental conditions like temperature, moisture, or water quality.","Install soil moisture, temperature, and weather sensors in remote field sites",Calibrate and troubleshoot sensor malfunctions to ensure accurate readings,"Download, store, and transmit data from field sensors for analysis",Understands sensor types and basic operation,Installs and maintains sensors,Applies sensor technology principles,Designs and manages sensor networks,Expert in sensor systems and IoT applications,Develops comprehensive sensor monitoring programs,Shapes environmental sensor applications,Provides leadership on sensor technology,"Climate monitoring networks, water quality monitoring, wildlife tracking","Industrial monitoring, precision agriculture sensors","Conservation monitoring, citizen science sensors","Sensor deployment for projects, monitoring networks","Research sensor networks, method development"
2.3.2,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Drone operation and data collection,"Flying unmanned aerial vehicles (drones) to collect photos, videos, or other data about landscapes from above.",Conduct aerial surveys of landscapes using drones for vegetation or infrastructure mapping,Capture high-resolution imagery and thermal data to support monitoring or inspections,Process drone imagery using photogrammetry software to generate orthomosaics or 3D models,Understands drone basics and regulations,Operates drones safely,Applies drone survey methods and photogrammetry,Conducts professional drone surveys,Expert in drone systems and applications,Leads drone programs and develops applications,Shapes drone applications in environmental field,Provides strategic leadership on drone technology,"Vegetation mapping, wildlife surveys, infrastructure inspection","Precision agriculture, site monitoring, asset inspection","Conservation monitoring, habitat mapping, advocacy documentation","Drone surveys for projects, change detection","Research methods, ecological surveys, method development"
2.3.3,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Field data recording systems,Using digital devices like tablets or specialized equipment to capture information while working outdoors.,Set up mobile data collection platforms for standardized field data entry,"Use tablets or ruggedized devices to record observations, photos, and coordinates",Sync field-collected data with central databases for quality control,Understands mobile data collection concepts,Uses field data collection apps,Applies mobile data collection design principles,Designs and deploys field data systems,Expert in mobile data systems and field informatics,Develops enterprise field data solutions,Shapes field data collection practice,Provides strategic leadership on field informatics,"Field inventory systems, monitoring protocols, inspection apps","Compliance monitoring, asset management, field operations","Conservation monitoring, citizen science platforms","Project data collection, standardized field protocols","Research data collection, experimental protocols"
2.3.4,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Mobile applications for field science,"Using smartphone or tablet apps designed for collecting scientific data, identifying species, or navigating in the field.","Use identification and survey apps (e.g., iNaturalist, Survey123) to collect species and habitat data",Customize mobile forms and workflows for specific monitoring protocols,Train teams on field app use and troubleshoot during deployments,Familiar with common field apps,Uses field apps for data collection,Applies mobile app ecosystem effectively,Selects and customizes apps for projects,Expert in mobile app applications and development,Develops custom apps or leads app-based programs,Shapes mobile app use in environmental science,Provides leadership on mobile technology,"Species reporting apps, public engagement platforms","Monitoring apps, inspection tools, compliance apps","Citizen science platforms, conservation monitoring apps","Project-specific apps, field data collection","Research apps, teaching tools, citizen science"
2.3.5,2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,Remote communication systems,"Using radios, satellite phones, or other technology to stay in contact while working in areas without regular cell phone coverage.",Operate satellite phones or radios for communication in areas without cell service,Establish protocols for field communication and emergency response,Maintain and troubleshoot communication equipment,Understands remote communication basics,Uses communication equipment,Applies communication systems and protocols,Manages field communications,Expert in communication systems and protocols,Designs communication infrastructure,Shapes communication technology in environmental field,Provides strategic leadership on communication,"Field crew safety, emergency response, remote operations","Remote site operations, crew coordination","Expedition communications, remote conservation sites","Project communications, safety protocols","Research expedition communications, field station networks"
2.4.1,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Machine learning for environmental applications,Using artificial intelligence approaches that allow computers to find patterns in environmental data and improve their analysis over time.,Train classification models to detect invasive species from aerial imagery,Use clustering algorithms to identify patterns in species distribution data,Integrate AI tools into monitoring systems to improve detection accuracy,Understands machine learning concepts and applications,Uses pre-trained models and ML tools,Applies ML algorithms and workflows,Trains and evaluates ML models,Expert in ML methods and deep learning,Develops sophisticated ML applications,Shapes ML applications in environmental science,Provides ML leadership and innovation,"Automated species detection, fire prediction, resource monitoring","Crop monitoring, quality control, predictive maintenance","Conservation monitoring, threat detection, species identification","ML analysis services, model development","ML research, environmental AI, method development"
2.4.2,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Predictive modeling and simulation,"Building computer models that can forecast future conditions or simulate ""what-if"" scenarios for different management approaches.",Develop models to forecast wildfire spread under different weather conditions,Simulate ecosystem response to various land use and climate scenarios,Present model outputs to stakeholders to inform adaptive management,Understands modeling concepts and purposes,Runs existing models,Applies modeling methods and parameterization,Develops and calibrates models,Expert in modeling theory and complex systems,Develops sophisticated models and modeling frameworks,Shapes environmental modeling practice,Provides modeling leadership and innovation,"Fire behavior modeling, population projections, climate impacts","Risk modeling, yield prediction, scenario planning","Conservation planning models, threat forecasting","Predictive modeling services, scenario analysis","Model development, forecasting research, theory"
2.4.3,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Decision support systems,Using specialized software tools that help managers evaluate options and make more informed choices about land management.,Use decision support tools to evaluate trade-offs in forest management strategies,Build dashboards that integrate data sources for real-time land management decision-making,Calibrate and refine tools based on user feedback and management goals,Understands decision support concepts,Uses existing decision support tools,Applies decision analysis methods,Customizes and implements decision tools,Expert in decision science and tool development,Develops comprehensive decision support systems,Shapes decision support practice,Provides leadership on decision science,"Management planning tools, resource allocation systems","Business decision tools, risk management systems","Conservation planning tools, prioritization systems","Decision support development, facilitation services","Decision science research, tool development"
2.4.4,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Network analysis,"Examining connections and relationships between different elements in a system, such as how species interact or how water flows through a landscape.",Map ecological corridors and connectivity using graph-based algorithms,Analyze social-ecological networks to understand stakeholder dynamics,"Apply network models to track spread of pests, diseases, or fire","Understands network concepts (nodes, edges, connectivity)",Creates simple network visualizations,Applies network analysis methods,Conducts network analyses,Expert in network science and applications,Develops network-based solutions,Shapes network analysis in environmental science,Provides leadership on network approaches,"Connectivity conservation, disease tracking, stakeholder networks","Supply chain networks, infrastructure networks","Corridor design, partnership networks, food web analysis","Connectivity analysis, network modeling","Network ecology research, social-ecological networks"
2.4.5,2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,Time series analysis,"Analyzing data collected over time to identify trends, cycles, or changes that might not be obvious from single snapshots.","Analyze long-term temperature, precipitation, or streamflow records","Detect trends, cycles, and anomalies in ecological monitoring datasets",Apply forecasting techniques to anticipate resource needs or environmental stress,"Understands time series concepts (trend, seasonality, autocorrelation)",Visualizes and describes time series,Applies time series analysis methods,Conducts time series analyses,Expert in time series methods and forecasting,Develops sophisticated time series models,Shapes time series analysis practice,Provides leadership on temporal analysis,"Trend monitoring, climate analysis, population dynamics","Demand forecasting, quality control, operations monitoring","Long-term monitoring, impact evaluation, trend detection","Time series analysis services, forecasting","Time series research, climate science, population ecology"
2.5.1,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Virtual meeting facilitation,Effectively planning and leading online meetings to achieve objectives and ensure all participants can contribute.,Plan and host video meetings for dispersed field and office teams,Use screen-sharing and breakout rooms to facilitate effective virtual collaboration,Troubleshoot platform issues and support inclusive participation,Familiar with video conferencing platforms,Participates effectively in virtual meetings,Applies virtual facilitation principles,Hosts and facilitates virtual meetings,Expert in virtual collaboration and facilitation,Designs and leads complex virtual collaboration,Shapes virtual collaboration practice,Provides leadership on virtual collaboration,"Distributed team coordination, public meetings, training","Remote work facilitation, client meetings, team collaboration","Partner collaboration, virtual workshops, member engagement","Client meetings, virtual workshops, team coordination","Online teaching, research collaboration, virtual conferences"
2.5.2,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Collaborative document management,"Using shared online platforms where multiple people can view, edit, and comment on the same documents.",Manage shared cloud folders with version-controlled documents,Use real-time editing tools to co-author reports or plans with internal and external partners,Maintain naming conventions and permissions for easy access and auditability,Familiar with cloud storage and document sharing,Uses shared documents,Applies document management principles,Manages collaborative document workflows,Expert in information management and collaboration,Designs document management systems,Shapes document management practice,Provides leadership on information management,"Records management, collaborative planning, document repositories","Project documentation, quality systems, knowledge management","Grant documentation, collaborative writing, shared resources","Client deliverables, proposal development, team collaboration","Research collaboration, manuscript preparation, teaching materials"
2.5.3,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Project management software,"Using digital tools to plan projects, track progress, assign tasks, and manage deadlines.","Track task assignments, timelines, and deliverables using digital project boards (e.g., Trello, Asana)",Generate progress reports from project management platforms for leadership updates,Coordinate team workflows and accountability using shared task dashboards,Familiar with project management concepts and tools,Uses project management tools,Applies project management methods,Manages projects using digital tools,Expert in project management systems,Implements enterprise project management,Shapes project management practice,Provides leadership on project management,"Program management, project tracking, grant management","Project delivery, resource allocation, client management","Conservation projects, campaign management, grant tracking","Client projects, proposal management, resource planning","Research project management, grant tracking, lab management"
2.5.4,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Knowledge management systems,"Using platforms that help capture, organize, and share information and expertise within an organization.",Upload and organize technical documents into searchable internal libraries,Tag and categorize content to enable rapid retrieval of lessons learned or protocols,Develop user guides to help new staff navigate knowledge systems,Understands knowledge management concepts,Uses knowledge management systems,Applies knowledge management principles,Manages knowledge resources,Expert in knowledge management systems,Designs knowledge management strategies,Shapes knowledge management practice,Provides leadership on knowledge management,"Institutional knowledge, protocols, best practices","Corporate knowledge, procedures, innovations","Programmatic learning, conservation techniques","Methodologies, case studies, lessons learned","Research methods, lab protocols, teaching resources"
2.5.5,2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,Digital workflow design,Creating efficient digital processes that guide information and tasks through multiple steps and team members.,Build automated approval workflows for permit reviews or field data processing,Design forms and logic that guide users through multi-step processes,Monitor workflow performance and iterate based on user feedback and efficiency metrics,Understands workflow concepts,Follows digital workflows,Applies workflow design principles,Designs and implements workflows,Expert in workflow automation and business process,Develops complex workflow solutions,Shapes workflow automation practice,Provides leadership on digital transformation,"Permitting workflows, data approval, grant management","Quality assurance, compliance workflows, approvals","Grant workflows, project approvals, volunteer management","Client deliverable workflows, quality review","Manuscript review, IRB processes, grant workflows"
2.6.1,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Computer vision for environmental applications,"Using AI to automatically identify and classify objects in images and video, such as species identification from camera traps or vegetation mapping from drone imagery.",Train computer vision models to identify species from camera trap images,Use object detection algorithms to count wildlife or map vegetation from aerial imagery,Validate and improve model accuracy using ground-truth data,Understands computer vision concepts and applications,Uses pre-trained computer vision models,Applies computer vision methods and architectures,Trains and deploys CV models,Expert in computer vision architectures and optimization,Develops sophisticated CV systems,Shapes computer vision applications in environmental science,Provides CV leadership and innovation,"Automated species monitoring, vegetation mapping, infrastructure inspection","Crop monitoring, quality control, automated inspections","Wildlife monitoring, deforestation detection, conservation automation","CV analysis services, model development","CV research, biodiversity monitoring, method development"
2.6.2,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Acoustic monitoring and analysis with AI,"Using machine learning to process and interpret environmental sounds, from bird songs to underwater acoustics, enabling continuous monitoring at scales impossible with human observers.",Deploy acoustic sensors and collect audio recordings from terrestrial or aquatic environments,Use AI models to automatically detect and classify species vocalizations,Analyze acoustic data to assess biodiversity patterns and detect rare species,Understands acoustic monitoring concepts,Deploys recorders and manages audio data,Applies acoustic analysis and AI methods,Processes acoustic data with AI,Expert in bioacoustics and acoustic AI,Develops acoustic monitoring systems,Shapes acoustic monitoring practice,Provides leadership on acoustic monitoring,"Bird and bat monitoring, marine mammal surveys, soundscape management","Environmental compliance monitoring, noise assessment","Biodiversity monitoring, conservation effectiveness, rare species detection","Acoustic surveys, impact monitoring","Bioacoustics research, acoustic ecology"
2.6.3,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Predictive analytics for resource management,"Using machine learning to forecast environmental conditions, resource needs, or ecological changes to enable proactive management.","Develop models to predict fire risk, pest outbreaks, or water availability",Use time series forecasting to anticipate resource management needs,Create early warning systems that trigger management actions,Understands predictive analytics concepts,Uses predictive models,Applies predictive modeling methods,Develops predictive models,Expert in predictive analytics and forecasting,Develops sophisticated prediction systems,Shapes predictive analytics in environmental management,Provides leadership on predictive analytics,"Fire risk forecasting, water supply prediction, pest outbreak warning","Yield prediction, demand forecasting, risk management","Threat forecasting, impact prediction","Predictive modeling services, risk assessment","Forecasting research, early warning systems"
2.6.4,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,Automated data processing and quality control with AI,"Using AI to clean, validate, and process environmental data automatically, reducing human time and improving data quality.",Implement AI systems to detect outliers and errors in sensor data streams,Use ML to flag suspect data for review and automatically correct common errors,Develop automated pipelines that process and validate data from collection to analysis,Understands automated data processing concepts,Uses automated data tools,Applies data processing automation,Develops automated data workflows,Expert in automated data systems and AI QC,Designs comprehensive automated data systems,Shapes automated data processing practice,Provides leadership on data automation,"Sensor network data processing, monitoring QC automation","Industrial monitoring, automated compliance",Data processing for large monitoring programs,"Data pipeline development, QC services","Research data automation, method development"
2.6.5,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,AI model interpretation and explainability,"Understanding and communicating how AI models make decisions, ensuring transparency and trust in AI-assisted environmental management.",Use explainable AI techniques to understand which variables drive model predictions,Visualize model decision-making processes for stakeholders and managers,Ensure AI systems are transparent and accountable in environmental decisions,Understands importance of model interpretability,Interprets simple model outputs,Applies interpretability methods,Analyzes and explains model behavior,Expert in explainable AI and model transparency,Ensures AI transparency in systems,Shapes explainable AI practice,Provides leadership on AI transparency,"Transparent AI for regulatory decisions, accountable automation","Explainable AI for business decisions, audit trails",Transparent AI for conservation prioritization,"Interpretable models for clients, explanation services","Explainable AI research, AI ethics"
2.7.1,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Augmented reality field applications,"Using technology that overlays digital information onto the real world while in the field, such as showing invisible features like property boundaries or historical conditions.","Develop AR layers to visualize underground infrastructure, past ecosystems, or zoning overlays",Equip field teams with AR-capable devices for data collection or inspection tasks,Integrate AR visuals into mobile apps to enhance field decision-making,Understands AR concepts and applications,Uses AR applications,Applies AR development principles,Develops AR applications,Expert in AR systems and applications,Develops sophisticated AR solutions,Shapes AR applications in environmental field,Provides leadership on AR technology,"Field navigation, infrastructure visualization, public engagement","Site inspection, maintenance guidance, training","Educational AR experiences, site interpretation","AR visualization for projects, stakeholder engagement","AR research, teaching tools, field education"
2.7.2,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Virtual reality environmental education,"Creating or using virtual reality experiences that allow people to explore and learn about natural environments, even remote or inaccessible ones.",Design VR simulations to immerse users in sensitive or remote environments,"Use VR as a training tool for wildfire behavior, habitat restoration, or cultural interpretation",Collaborate with educators to align VR content with curriculum standards,Understands VR concepts and educational applications,Uses VR experiences,Applies VR development and educational design,Creates VR educational experiences,Expert in VR development and immersive learning,Develops comprehensive VR programs,Shapes VR applications in environmental education,Provides leadership on immersive learning,"Visitor education, training simulations, public outreach","Employee training, safety simulations","Conservation education, virtual site visits, fundraising","VR development services, immersive presentations","VR teaching tools, research simulations, remote field experiences"
2.7.3,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Digital twin development and management,Building and maintaining detailed digital replicas of physical landscapes that simulate how they function and respond to different conditions or management actions.,Build digital replicas of ecosystems or infrastructure using real-time sensor data,Simulate environmental changes in digital twins to test different management actions,"Maintain digital twins by updating data feeds, models, and user interfaces",Understands digital twin concepts,Uses digital twins,Applies digital twin architecture and integration,Develops simple digital twins,Expert in digital twin systems and simulation,Develops comprehensive digital twins,Shapes digital twin applications in environmental field,Provides leadership on digital twins,"Watershed digital twins, infrastructure management, scenario planning","Facility management, operational optimization","Conservation site digital twins, monitoring visualization",Digital twin development services,"Research digital twins, teaching tools"
2.7.4,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Immersive visualization design,Creating effective visual experiences that help people understand complex environmental data or concepts through immersive technologies.,Create interactive 3D maps and storytelling experiences to engage the public,Use photogrammetry and LiDAR data to build realistic virtual environments,Collaborate with graphic designers and software developers on immersive platforms,Understands immersive visualization concepts,Creates simple immersive visuals,Applies immersive visualization design,Develops immersive visualizations,Expert in immersive visualization and user experience,Develops sophisticated visualization systems,Shapes immersive visualization practice,Provides leadership on immersive media,"Public engagement, planning visualization, education","Project visualization, stakeholder communication","Conservation storytelling, impact visualization, fundraising","Immersive presentations, visualization services","Research visualization, teaching tools, data exploration"
2.7.5,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,3D landscape modeling,"Building three-dimensional digital models of landscapes that can be viewed and analyzed from different perspectives, often showing features like topography, vegetation, or structures.","Model terrain, vegetation, and infrastructure in 3D using GIS or CAD software","Use models to support flood modeling, visual impact assessments, or construction planning","Export 3D files for integration into AR, VR, or public visualization tools",Understands 3D modeling concepts,Creates simple 3D models,Applies 3D modeling techniques,Develops detailed 3D landscape models,Expert in 3D landscape modeling and visualization,Develops sophisticated 3D modeling systems,Shapes 3D modeling practice in environmental field,Provides leadership on 3D visualization,"Planning visualization, impact assessment, public engagement","Site planning, visual impact assessment, design visualization","Conservation visualization, before/after scenarios","3D modeling services, environmental visualization","Research visualization, landscape architecture, teaching DOMAIN 3: MANAGEMENT & ADMINISTRATIVE SKILLS Organizing people, resources, and projects to achieve stewardship goals DOMAIN OVERVIEW Management and administrative skills transform scientific knowledge and technical capabilities into real-world conservation and sustainability outcomes. This domain encompasses the essential skills for planning, organizing, leading, and administering environmental programs—from managing individual projects to leading organizational strategy. These skills ensure that environmental work is completed effectively, efficiently, and with lasting impact. This domain encompasses seven skill areas spanning from project execution to strategic leadership, financial stewardship to emerging sustainability frameworks. While some professionals focus on operational management, increasingly complex environmental challenges require integration of traditional management with innovation in corporate sustainability, circular economy thinking, and adaptive approaches. Effective environmental leaders combine management competence with deep understanding of ecological systems and stakeholder needs. Example Positions Within This Domain Professionals whose work falls primarily within Domain 3 include (but are not limited to): Project & Program Management Roles: * Project Manager / Environmental Project Manager * Program Manager / Program Coordinator * Conservation Program Manager * Restoration Project Manager * Grant Manager * Contract Manager * Portfolio Manager Strategic Planning & Leadership Roles: * Strategic Planning Director * Conservation Director * Executive Director (NGO) * Chief Operating Officer * Vice President of Operations * Program Director * Planning Manager Resource & Administrative Roles: * Administrative Manager * Operations Manager * Human Resources Manager (Environmental Organizations) * Facilities Manager * Procurement Manager * Administrative Services Director Financial Management Roles: * Finance Manager / Financial Analyst * Budget Manager * Controller * Chief Financial Officer * Grants Administrator * Fee Program Manager Leadership & Organizational Development Roles: * Executive Director * Chief Executive Officer * Deputy Director * Change Management Specialist * Organizational Development Consultant * Leadership Coach (Environmental Sector) Corporate Sustainability & ESG Roles: * Sustainability Manager / Director * Corporate Social Responsibility (CSR) Manager * ESG (Environmental, Social, Governance) Manager * Chief Sustainability Officer * Sustainability Analyst * ESG Reporting Specialist * Circular Economy Manager Circular Economy & Systems Roles: * Circular Economy Specialist * Zero Waste Coordinator * Waste Reduction Manager * Sustainable Supply Chain Manager * Product Stewardship Manager * Materials Management Specialist How Advanced Technologies Are Changing This Domain Management and administrative practices are being transformed by digital tools and data-driven approaches: Digital Project Management: * Cloud-based project management platforms enable real-time collaboration across dispersed teams * AI-powered scheduling optimizes resource allocation and identifies bottlenecks * Automated reporting reduces administrative burden * Mobile apps enable field-based project tracking * Integration of project management with GIS and monitoring systems * Predictive analytics forecast project risks and delays * Digital twins simulate project implementation and outcomes Financial Management Innovation: * Blockchain enables transparent tracking of conservation finance * AI detects anomalies and fraud in financial transactions * Automated accounting reduces manual bookkeeping * Real-time financial dashboards improve decision-making * Digital payment systems streamline transactions * Cloud-based financial systems accessible from anywhere * Predictive modeling forecasts financial needs and scenarios Data-Driven Leadership: * Business intelligence dashboards provide real-time organizational metrics * Predictive analytics inform strategic planning * Sentiment analysis reveals organizational culture insights * Network analysis maps stakeholder relationships * Machine learning identifies patterns in organizational data * Digital feedback systems enable continuous improvement * Data visualization communicates complex information to boards ESG & Sustainability Technology: * IoT sensors track environmental metrics continuously * Blockchain verifies sustainability claims and supply chains * AI analyzes ESG risk and opportunities * Automated sustainability reporting platforms * Carbon accounting software quantifies emissions * Life cycle assessment tools evaluate product impacts * Digital platforms connect buyers and suppliers of sustainable products Virtual & Hybrid Management: * Virtual meeting platforms enable distributed teams * Digital collaboration tools maintain team cohesion remotely * AI-powered translation breaks language barriers * Virtual reality enables immersive training and team building * Digital whiteboards facilitate creative collaboration * Time zone management tools coordinate global teams * Remote work monitoring balances productivity and autonomy Circular Economy Platforms: * Material marketplaces connect waste generators with users * Digital product passports track materials through lifecycles * IoT enables product-as-a-service business models * Blockchain tracks recycled content and certifications * AI optimizes reverse logistics and material flows * Platform models enable sharing economy * Digital twins optimize circular systems Challenges & Considerations: These technological advances create management challenges: * Digital divide: Not all staff have equal technology access or comfort * Change fatigue: Continuous technology adoption exhausts organizations * Data overload: Too many metrics can obscure key insights * Privacy concerns: Monitoring systems may feel invasive * Technology dependence: System failures disrupt operations * Cost: Advanced tools require significant investment * Integration complexity: Multiple systems may not communicate well * Skills gaps: Staff may lack technical management skills * Human connection: Virtual work can erode organizational culture * Vendor lock-in: Proprietary systems limit flexibility Future-Ready Management Skills: Environmental managers increasingly need: * Data literacy and dashboard interpretation * Digital project management tools proficiency * Change management for technology adoption * Virtual team leadership and remote management * Data-informed decision-making * ESG frameworks and sustainability reporting * Circular economy business models * Systems thinking for complex challenges * Adaptive management and learning orientation * Balance of technology with human relationships * Critical evaluation of management fads and tools * Ethical leadership in digital age The most effective managers blend technological capability with traditional management fundamentals—using technology to enhance efficiency and insight while maintaining human-centered leadership and adaptive approaches. Cross-Sector Applications Management and administrative skills are universally essential across all environmental sectors:"
